	2026-01-08	11:52	KB국민 다담카드(비OTP)	한국맥도날드(유)인천계산DT점	7,300 	0.00 	일시불		0 	0 	전표매입	2026-02-05	30055636
	2026-01-05	17:38	KB국민 다담카드(비OTP)	아성다이소	9,000 	0.00 	일시불		0 	0 	전표매입	2026-02-05	30055628
	2026-01-04	22:55	KB국민 다담카드(비OTP)	네이버페이	21,252 	0.00 	일시불		0 	0 	전표매입	2026-02-05	30055617
	2026-01-02	17:22	KB국민 다담카드(비OTP)	아성다이소	4,000 	0.00 	일시불		0 	0 	전표매입	2026-02-05	30055606
	2026-01-02	10:44	KB국민 다담카드(비OTP)	네이버페이	1,100 	0.00 	일시불		0 	0 	전표매입	2026-02-05	30055594
	2026-01-01	21:33	KB국민 다담카드(비OTP)	네이버페이	38,626 	0.00 	일시불		0 	0 	전표매입	2026-02-05	30055583
	2026-01-01	21:27	KB국민 다담카드(비OTP)	네이버페이	35,526 	0.00 	일시불		0 	0 	승인취소		30055572
	2026-01-01	01:06	KB국민 다담카드(비OTP)	씨유(CU)뉴산곡경남점	800 	0.00 	일시불		0 	0 	전표매입	2026-02-05	30055565
	2025-12-30	06:27	KB국민 다담카드(비OTP)	티알엔	47,410 	0.00 	일시불		0 	0 	전표매입	2026-02-05	30055550
	2025-12-30	06:19	KB국민 다담카드(비OTP)	네이버페이	277,444 	0.00 	일시불		0 	0 	전표매입	2026-02-05	30055549
	2025-12-29	16:53	KB국민 다담카드(비OTP)	한길의료재단한길안과병원	63,200 	0.00 	일시불		0 	0 	전표매입	2026-02-05	30055539
	2025-12-27	13:14	KB국민 다담카드(비OTP)	도리포수산	12,000 	0.00 	일시불		0 	0 	전표매입	2026-02-05	30055523
	2025-12-27	13:11	KB국민 다담카드(비OTP)	영란상회	85,000 	0.00 	일시불	스타샵(적립)	0 	850 	전표매입	2026-02-05	30055512
	2025-12-27	13:00	KB국민 다담카드(비OTP)	(주)창민씨푸드	20,000 	0.00 	일시불		0 	0 	전표매입	2026-02-05	30055509
	2025-12-26	16:55	KB국민 다담카드(비OTP)	인천세종병원	296,300 	0.00 	일시불		0 	0 	전표매입	2026-02-05	30055494
	2025-12-24	14:56	KB국민 다담카드(비OTP)	아성다이소	4,000 	0.00 	일시불		0 	0 	전표매입	2026-02-05	30055482
	2025-12-22	22:37	KB국민 다담카드(비OTP)	GS SHOP	28,950 	0.00 	일시불	스타샵(적립)	0 	2,048 	전표매입	2026-02-05	30055471
	2025-12-21	05:50	KB국민 다담카드(비OTP)	터널/도로 2 건	1,600 	0.00 	일시불		0 	0 	전표매입	2026-01-05	45068064
	2025-12-20	12:46	KB국민 다담카드(비OTP)	(주)세계로유통 부평점	71,400 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055462
	2025-12-18	19:28	KB국민 다담카드(비OTP)	네이버페이	55,689 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055459
	2025-12-18	13:00	KB국민 다담카드(비OTP)	후르츠팜	1,000 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055444
	2025-12-18	10:11	KB국민 다담카드(비OTP)	인천세종병원	254,410 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055438
	2025-12-17	11:30	KB국민 다담카드(비OTP)	의료)길의료재단	21,200 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055426
	2025-12-16	13:17	KB국민 다담카드(비OTP)	의료)길의료재단	724,250 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055415
	2025-12-16	11:32	KB국민 다담카드(비OTP)	본죽앤비빔밥 인천길병원점	10,500 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055404
	2025-12-15	11:55	KB국민 다담카드(비OTP)	롯데지알에스(웹)_3	9,000 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055392
	2025-12-15	09:55	KB국민 다담카드(비OTP)	인천세종병원	10,800 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055382
	2025-12-14	23:32	KB국민 다담카드(비OTP)	쿠팡(쿠페이)	60,950 	0.00 	일시불		0 	3,047 	전표매입	2026-01-05	30055373
	2025-12-14	22:50	KB국민 다담카드(비OTP)	NICE결제대행	41,220 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055362
	2025-12-12	21:19	KB국민 다담카드(비OTP)	에스더몰	28,230 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055358
	2025-12-12	21:12	KB국민 다담카드(비OTP)	에스더몰	28,230 	0.00 	일시불		0 	0 	승인취소		30055347
	2025-12-12	20:58	KB국민 다담카드(비OTP)	컬리_컬리페이	31,455 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055336
	2025-12-11	08:57	KB국민 다담카드(비OTP)	KT통신요금자동납부	25,300 	0.00 	일시불		2,530 	0 	전표매입	2026-01-05	30055328
	2025-12-10	17:18	KB국민 다담카드(비OTP)	아성다이소	3,000 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055314
	2025-12-09	07:40	KB국민 다담카드(비OTP)	LGUPLUS 통신요금자동이체	8,900 	0.00 	일시불		890 	0 	전표매입	2026-01-05	30055301
	2025-12-06	13:28	KB국민 다담카드(비OTP)	(주)세계로유통 부평점	61,840 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055293
	2025-12-03	10:12	KB국민 다담카드(비OTP)	비케이알	14,900 	0.00 	일시불		0 	0 	승인취소		30055280
	2025-12-02	17:41	KB국민 다담카드(비OTP)	아성다이소	2,000 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055279
	2025-12-01	16:51	KB국민 다담카드(비OTP)	쿠팡(쿠페이)	9,900 	0.00 	일시불		0 	495 	전표매입	2026-01-05	30055268
	2025-12-01	16:25	KB국민 다담카드(비OTP)	쿠팡(쿠페이)	5,500 	0.00 	일시불		0 	275 	전표매입	2026-01-05	30055250
	2025-12-01	11:33	KB국민 다담카드(비OTP)	의료)길의료재단	149,200 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055246
	2025-11-30	11:20	KB국민 다담카드(비OTP)	롯데마트부평점	19,800 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055239
	2025-11-29	15:12	KB국민 다담카드(비OTP)	쿠팡(쿠페이)	25,200 	0.00 	일시불		0 	1,260 	전표매입	2026-01-05	30055224
	2025-11-29	15:06	KB국민 다담카드(비OTP)	쿠팡(쿠페이)	297,000 	0.00 	일시불		0 	2,993 	전표매입	2026-01-05	30055213
	2025-11-29	12:45	KB국민 다담카드(비OTP)	하이웨이클럽 청천점	54,890 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055203
	2025-11-29	12:04	KB국민 다담카드(비OTP)	14번중도매인	35,000 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055194
	2025-11-29	00:49	KB국민 다담카드(비OTP)	쿠팡(쿠페이)	82,900 	0.00 	일시불		0 	4,145 	전표매입	2026-01-05	30055189
	2025-11-27	17:39	KB국민 다담카드(비OTP)	아성다이소	5,000 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055178
	2025-11-25	23:38	KB국민 다담카드(비OTP)	네이버페이	116,496 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055167
	2025-11-25	23:12	KB국민 다담카드(비OTP)	쿠팡(쿠페이)	102,600 	0.00 	일시불		0 	0 	승인취소		30055156
	2025-11-25	22:52	KB국민 다담카드(비OTP)	쿠팡(쿠페이)	18,650 	0.00 	일시불		0 	932 	전표매입	2026-01-05	30055148
	2025-11-25	10:16	KB국민 다담카드(비OTP)	인천세종병원	1,036,000 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055135
	2025-11-23	13:49	KB국민 다담카드(비OTP)	NICE결제대행	58,800 	0.00 	일시불		0 	0 	전표매입	2026-01-05	30055126
	2025-11-21	23:30	KB국민 다담카드(비OTP)	쿠팡(쿠페이)	6,470 	0.00 	일시불		0 	323 	전표매입	2026-01-05	30055115
	2025-11-21	23:28	KB국민 다담카드(비OTP)	쿠팡(쿠페이)	6,470 	0.00 	일시불		0 	0 	승인취소		30055104
	2025-11-21	05:36	KB국민 다담카드(비OTP)	터널/도로 3 건	2,400 	0.00 	일시불		0 	0 	전표매입	2025-12-05	46409176
	2025-11-20	21:37	KB국민 다담카드(비OTP)	쿠팡(쿠페이)	6,950 	0.00 	일시불		0 	347 	전표매입	2025-12-05	30055092
	2025-11-20	21:33	KB국민 다담카드(비OTP)	쿠팡(쿠페이)	9,900 	0.00 	일시불		0 	0 	승인취소		30055088
	2025-11-18	17:27	KB국민 다담카드(비OTP)	아성다이소	4,000 	0.00 	일시불		0 	0 	전표매입	2025-12-05	30055077
	2025-11-11	09:21	KB국민 다담카드(비OTP)	KT통신요금자동납부	25,300 	0.00 	일시불		2,530 	0 	전표매입	2025-12-05	30055069
	2025-11-10	19:03	KB국민 다담카드(비OTP)	GSSHOP	58,975 	0.00 	일시불	스타샵(적립)	0 	4,174 	전표매입	2025-12-05	30055051
	2025-11-10	07:28	KB국민 다담카드(비OTP)	LGUPLUS 통신요금자동이체	8,900 	0.00 	일시불		890 	0 	전표매입	2025-12-05	30055042
	2025-11-08	16:20	KB국민 다담카드(비OTP)	하이웨이클럽 청천점	32,000 	0.00 	일시불		0 	0 	전표매입	2025-12-05	30055034
